ID,Vietnamese_Text,English_Text,Vietnamese_Sound
chat_dating_1_t0_you2,Cái gì cũng được,Anything's fine,
chat_dating_1_t1_them,Lần sau đi chơi tiếp nhé,Let's hang out again next time,
chat_dating_1_t1_you0,"Cảm ơn, bạn cũng vậy","Thanks, you too",
chat_dating_1_t1_you1,Tôi phải đi rồi,I have to go now,
chat_dating_1_t1_you2,Thật à?,Really?,
chat_dating_1_t2_them,Mình thích đọc sách với đi cà phê như vầy nè,I like reading and coffee dates like this,
chat_dating_1_t2_you0,Bạn thích làm gì vào cuối tuần?,What do you like doing on weekends?,
chat_dating_1_t2_you1,Tôi không có sở thích gì cả,I don't have any hobbies,
chat_dating_1_t2_you2,Bạn hỏi nhiều quá,You're asking too many questions,
chat_dating_1_t3_them,Vậy mình hợp nhau rồi!,Then we're a good match!,
chat_dating_1_t3_you0,"Nghe hay đó, mình cũng thích vậy","That sounds nice, I like that too",
chat_dating_1_t3_you1,Đọc sách chán lắm,Reading is boring,
chat_dating_1_t3_you2,Ừ,Yeah,
chat_dating_2_opener,"Cuối tuần này nhóm mình đi Đà Lạt, đi không?","Our group is going to Da Lat this weekend, want to come?",
chat_dating_2_t0_them,Tuyệt! Mình sẽ gửi lịch trình sau,Great! I'll send the itinerary later,
chat_dating_2_t0_you0,"Nghe hay đó, cho tôi đi với!","Sounds fun, count me in!",
chat_dating_2_t0_you1,Đà Lạt ở đâu?,Where's Da Lat?,
chat_dating_2_t0_you2,Đi mấy ngày vậy?,How many days?,
chat_dating_2_t1_them,"Không có gì, vui lắm đó!","No problem, it'll be fun!",
chat_dating_2_t1_you0,Cảm ơn đã rủ nhé,Thanks for inviting me,
chat_dating_2_t1_you1,Chắc tôi không đi đâu,I probably won't go,
chat_dating_2_t1_you2,Cần mang theo gì?,What should I bring?,
chat_dating_2_t2_them,"Chia đều thôi, khoảng 1 triệu mỗi người","Split evenly, about 1 million each",
chat_dating_2_t2_you0,Chi phí khoảng bao nhiêu vậy?,About how much will it cost?,
chat_dating_2_t2_you1,Tiền không thành vấn đề,Money's not an issue,
chat_dating_2_t2_you2,Ai trả tiền vậy?,Who's paying?,
chat_dating_2_t3_them,"Tuyệt vời, chào mừng bạn nhé!","Awesome, welcome aboard!",
chat_dating_2_t3_you0,"Được, tôi tham gia!","Okay, I'm in!",
chat_dating_2_t3_you1,Để tôi suy nghĩ thêm,Let me think about it more,
chat_dating_2_t3_you2,Chắc hơi mắc,That's kind of expensive,
chat_dating_3_opener,Con chào hai bác ạ.,"Hello, nice to meet you both.",
chat_dating_3_t0_them,"À, con ngồi chơi đi","Ah, please sit down",
chat_dating_3_t0_you0,Con là bạn của Linh ạ,I'm Linh's friend,
chat_dating_3_t0_you2,Nhà cô chú đẹp quá,Your home is beautiful,
chat_dating_3_t1_them,Ở lại ăn cơm với gia đình nhé,Stay and eat with the family,
chat_dating_3_t1_you0,"Dạ, con cảm ơn ạ",Thank you,
chat_dating_3_t1_you1,Tôi phải về rồi,I have to go now,
chat_dating_3_t1_you2,Con không đói lắm,I'm not very hungry,
chat_dating_3_t2_them,"Ừ, ngồi thoải mái đi con","Sure, make yourself comfortable",
chat_dating_3_t2_you0,"Dạ, con xin phép ngồi ạ",May I sit down?,
chat_dating_3_t2_you1,Con đứng cũng được,I'll just stand,
chat_dating_3_t2_you2,Ghế này của ai vậy?,Whose chair is this?,
chat_dating_3_t3_them,"Vậy ăn thêm đi con, đừng ngại!","Then eat more, don't be shy!",
chat_dating_3_t3_you0,Món này ngon quá bác ơi,This dish is delicious!,
chat_dating_3_t3_you1,"Con ăn chay, không ăn được món này","I'm vegetarian, I can't eat this",
chat_dating_3_t3_you2,Con không quen món này lắm,I'm not used to this dish,
chat_dating_4_opener,"Chào bạn, lần đầu gặp qua app nè, hơi ngại ha","Hi, first time meeting from the app, kind of nervous",
chat_dating_4_t0_them,"Ha, cảm ơn bạn dễ thương ghê","Haha, thanks, that's sweet of you",
chat_dating_4_t0_you0,"Mình cũng vậy, nhưng vui vì gặp được bạn","Me too, but glad to meet you",
chat_dating_4_t0_you1,Ngại thì về đi,"If you're nervous, go home",
chat_dating_4_t0_you2,Tôi không ngại gì cả,I'm not nervous at all,
chat_dating_4_t1_them,"Thỉnh thoảng thôi, ít khi gặp ai hợp","Sometimes, don't often meet someone who's a good match",
chat_dating_4_t1_you0,Bạn hay đi app này không?,Do you use this app often?,
chat_dating_4_t1_you1,Tôi không dùng app hẹn hò,I don't use dating apps,
chat_dating_4_t1_you2,Bạn có match nhiều người không?,Do you match with a lot of people?,
chat_dating_4_t2_them,"Ha, hy vọng vậy!","Haha, hope so!",
chat_dating_4_t2_you0,Vậy hy vọng lần này hợp nha,Hope this time is a good match then,
chat_dating_4_t2_you1,Chắc cũng không hợp đâu,Probably won't be a match either,
chat_dating_4_t2_you2,Mình cũng không chắc,I'm not sure either,
chat_dating_4_t3_them,"Được đó, đi thôi!","Sure, let's go!",
chat_dating_4_t3_you0,Đi dạo thêm chút được không?,Want to walk around a bit more?,
chat_dating_4_t3_you1,Thôi mình về đi,Let's just go home,
chat_dating_4_t3_you2,Tuỳ bạn,Up to you,
chat_dating_5_opener,Tối nay đi hát karaoke không?,Want to go sing karaoke tonight?,
chat_dating_5_t0_them,"Bài gì cũng được, cứ vui là chính!","Anything, the point is just to have fun!",
chat_dating_5_t0_you0,Đi chứ! Hát bài gì đây?,Let's go! What should we sing?,
chat_dating_5_t0_you1,Tôi hát dở lắm,I sing badly,
chat_dating_5_t0_you2,Karaoke ở đâu vậy?,Where's the karaoke?,
chat_dating_5_t1_them,"Được, chọn đi, tụi mình cổ vũ!","Go for it, we'll cheer you on!",
chat_dating_5_t1_you0,Vậy để tôi chọn một bài trước nhé,I'll pick a song first then,
chat_dating_5_t1_you1,Tôi không muốn hát,I don't want to sing,
chat_dating_5_t1_you2,Ai hát trước cũng được,Whoever wants to sing first,
chat_dating_5_t2_them,"Được, hát chung vui hơn!","Sure, singing together is more fun!",
chat_dating_5_t2_you0,Mọi người hát chung bài này với tôi nha,Everyone sing this one with me,
chat_dating_5_t2_you1,Tôi hát một mình thôi,I'll just sing alone,
chat_dating_5_t2_you2,Nhạc này dở quá,This song is bad,
chat_dating_5_t3_them,"Ừ, lần sau đi tiếp nha!","Yeah, let's do this again!",
chat_dating_5_t3_you0,"Cảm ơn mọi người, tối nay vui quá","Thanks everyone, tonight was really fun",
chat_dating_5_t3_you1,"Thôi tôi mệt rồi, về trước đây","I'm tired, going home first",
chat_dating_5_t3_you2,Lần sau chọn chỗ khác đi,Pick somewhere else next time,
chat_dating_6_opener,Cuối tuần này đi chơi tiếp không?,Want to hang out again this weekend?,
chat_dating_6_t0_them,"À, mình hiểu mà, cảm ơn bạn đã thẳng thắn","Ah, I understand, thanks for being upfront",
chat_dating_6_t0_you0,"Cảm ơn bạn, nhưng mình nghĩ tụi mình hợp làm bạn hơn","Thank you, but I think we work better as friends",
chat_dating_6_t0_you1,"Không, tôi bận","No, I'm busy",
chat_dating_6_t0_you2,"Không, tôi không thích bạn","No, I don't like you",
chat_dating_6_t1_them,"Mình cũng vậy, chúc bạn những điều tốt đẹp","Me too, wishing you all the best",
chat_dating_6_t1_you0,Mình rất vui vì đã gặp bạn,I really enjoyed meeting you,
chat_dating_6_t1_you1,Thôi khỏi nói gì thêm,No need to say anything else,
chat_dating_6_t1_you2,Chắc mình không gặp lại nữa,We probably won't see each other again,
chat_dating_6_t2_them,"Không có gì, chúc bạn vui vẻ nhé","No problem, take care",
chat_dating_6_t2_you0,Cảm ơn bạn đã hiểu,Thank you for understanding,
chat_dating_6_t2_you1,Đừng nhắn tin cho tôi nữa,Don't text me anymore,
chat_dating_6_t3_them,"Tạm biệt, giữ liên lạc nhé!","Goodbye, stay in touch!",
chat_dating_6_t3_you0,"Bạn cũng vậy nhé, tạm biệt","You too, goodbye",
chat_dating_6_t3_you1,Chắc mình chặn số luôn,I'll probably just block your number,
chat_dating_6_t3_you2,Có lẽ mình đổi ý sau,Maybe I'll change my mind later,
chat_everyday_0_opener,Anh/chị đi đâu?,Where are you headed?,
chat_everyday_0_t0_them,"Ok, 50 nghìn nhé. Lên xe đi!","Ok, 50k. Hop on!",
chat_everyday_0_t0_you0,Tôi đi chợ Bến Thành,I'm going to Ben Thanh Market,
chat_everyday_0_t0_you1,Tôi không biết,I don't know,
chat_everyday_0_t0_you2,Xe máy đẹp quá,Nice bike!,
chat_everyday_0_t1_them,"Ok, ngồi vững nhé!","Ok, hold on tight!",
chat_everyday_0_t1_you0,"Được, cảm ơn anh","Sounds good, thank you",
chat_everyday_0_t1_you1,Đắt quá!,Too expensive!,
chat_everyday_0_t1_you2,Tôi đi bộ vậy,I'll just walk then,
chat_everyday_0_t2_them,"Yên tâm đi, tôi chạy an toàn","Relax, I drive safely",
chat_everyday_0_t2_you0,Anh chạy chậm chậm thôi nhé,Please drive a bit slowly,
chat_everyday_0_t2_you1,Nhanh lên!,Faster!,
chat_everyday_0_t2_you2,Tôi không sợ đâu,I'm not scared,
chat_everyday_0_t3_them,"Được rồi, 50 nghìn nhé. Cảm ơn bạn!","Alright, 50k. Thanks!",
chat_everyday_0_t3_you0,"Dừng ở đây được rồi, cảm ơn anh","You can stop here, thank you",
chat_everyday_0_t3_you1,Tôi đổi ý rồi,I changed my mind,
chat_everyday_0_t3_you2,Ok bye,Ok bye,
chat_everyday_1_opener,"Chào con, dạo này khỏe không?","Hello dear, how have you been?",
chat_everyday_1_t0_them,"Vậy tốt rồi, ăn cơm chưa?",Good — have you eaten yet?,
chat_everyday_1_t0_you0,"Dạ, con khỏe, cảm ơn cô","I'm well, thank you",
chat_everyday_1_t0_you1,Con không biết cô là ai,I don't know who you are,
chat_everyday_1_t0_you2,Cô hỏi làm gì vậy?,Why are you asking?,
chat_everyday_1_t1_them,Rảnh thì ghé nhà cô chơi nhé,Come visit when you have time,
chat_everyday_1_t1_you0,"Dạ, con ăn rồi ạ","Yes, I've eaten",
chat_everyday_1_t1_you1,Con đi ngủ đây,I'm going to sleep,
chat_everyday_1_t1_you2,Cô ăn cơm với con nhé,"Eat with me, auntie",
chat_everyday_1_t2_them,"Được đó, cô nấu chè đợi con","Great, I'll make chè and wait for you",
chat_everyday_1_t2_you0,"Dạ, con sẽ ghé qua cuối tuần",I'll stop by this weekend,
chat_everyday_1_t2_you1,"Con bận lắm, không đi được","I'm too busy, can't go",
chat_everyday_1_t2_you2,Nhà cô ở đâu vậy?,Where do you live?,
chat_everyday_1_t3_them,"Không có gì đâu con, cô thương con mà","It's nothing, dear — I care about you",
chat_everyday_1_t3_you0,"Dạ, con cảm ơn cô nhiều lắm",Thank you so much,
chat_everyday_1_t3_you1,Thôi khỏi cô ơi,"Oh no, you don't have to",
chat_everyday_1_t3_you2,Chè gì vậy cô?,What kind of chè?,
chat_everyday_10_opener,Anh/chị cần sửa gì vậy?,What do you need altered?,
chat_everyday_10_t0_them,"Được, ngắn bao nhiêu vậy?","Sure, how much shorter?",
chat_everyday_10_t0_you0,Tôi cần sửa ngắn cái quần này,I need these pants shortened,
chat_everyday_10_t0_you1,Cái này không phải của tôi,This isn't mine,
chat_everyday_10_t0_you2,Tôi không biết sửa gì,I don't know what to fix,
chat_everyday_10_t1_them,"Được, chị làm xong trong 30 phút","Okay, I'll have it done in 30 minutes",
chat_everyday_10_t1_you0,Khoảng 3 phân thôi,About 3 centimeters,
chat_everyday_10_t1_you1,Tuỳ chị luôn,Up to you,
chat_everyday_10_t1_you2,Ngắn thật ngắn,Really short,
chat_everyday_10_t2_them,Khoảng 30 nghìn thôi,About 30k,
chat_everyday_10_t2_you0,Bao nhiêu tiền vậy chị?,How much will it cost?,
chat_everyday_10_t2_you1,Rẻ thôi nhé,Keep it cheap,
chat_everyday_10_t2_you2,Tôi không cần biết giá,I don't need to know the price,
chat_everyday_10_t3_them,"Được, hẹn gặp lại sau nhé!","Sure, see you later!",
chat_everyday_10_t3_you0,"Được, tôi quay lại sau nhé","Okay, I'll come back later",
chat_everyday_10_t3_you1,Tôi đợi luôn ở đây,I'll just wait right here,
chat_everyday_10_t3_you2,Thôi tôi không cần nữa,"Never mind, I don't need it anymore",
chat_everyday_2_opener,Tiền nhà tháng này chưa đóng nhé.,You haven't paid this month's rent yet.,
chat_everyday_2_t0_them,"Được, chuyển khoản cho cô nhé","Okay, transfer it to me then",
chat_everyday_2_t0_you0,"Dạ, con đóng tiền hôm nay",I'll pay today,
chat_everyday_2_t0_you1,Con không có tiền,I don't have money,
chat_everyday_2_t0_you2,Sao tháng nào cô cũng nhắc vậy,Why do you remind me every month?,
chat_everyday_2_t1_them,"Được rồi, cảm ơn con","Alright, thank you",
chat_everyday_2_t1_you0,"Dạ, con chuyển ngay",I'll transfer it right away,
chat_everyday_2_t1_you1,Để mai con đóng,I'll pay tomorrow,
chat_everyday_2_t1_you2,Số tài khoản của cô là gì?,What's your account number?,
chat_everyday_2_t2_them,"Ồ, để cô gọi thợ qua sửa nhé","Oh, I'll call someone to fix it",
chat_everyday_2_t2_you0,"Dạ, máy nước nóng phòng con bị hỏng ạ","By the way, my water heater is broken",
chat_everyday_2_t2_you1,Nhà cô nát quá,Your place is falling apart,
chat_everyday_2_t2_you2,Thôi kệ đi,"Never mind, forget it",
chat_everyday_2_t3_them,"Không có gì, con ở thoải mái nhé","No problem, make yourself at home",
chat_everyday_2_t3_you0,"Dạ, con cảm ơn cô nhiều",Thank you so much,
chat_everyday_2_t3_you1,Bao giờ thợ tới vậy?,When will the repairman come?,
chat_everyday_2_t3_you2,Cô nhớ gọi sớm nha,Remember to call soon,
chat_everyday_3_opener,Xe bạn bị sao vậy?,What's wrong with your bike?,
chat_everyday_3_t0_them,Để tôi kiểm tra bugi nhé,Let me check the spark plug,
chat_everyday_3_t0_you0,Xe không nổ máy được,It won't start,
chat_everyday_3_t0_you1,Xe đẹp lắm,The bike is beautiful,
chat_everyday_3_t0_you2,Tôi mới mua xe này,I just bought this bike,
chat_everyday_3_t1_them,Khoảng 15 phút thôi,About 15 minutes,
chat_everyday_3_t1_you0,Bao lâu thì xong?,How long will it take?,
chat_everyday_3_t1_you1,Tôi không quan tâm,I don't care,
chat_everyday_3_t1_you2,Bugi là gì vậy?,What's a spark plug?,
chat_everyday_3_t2_them,"Khoảng 100 nghìn thôi, rẻ mà","Only about 100k, it's cheap",
chat_everyday_3_t2_you0,Sửa xong hết bao nhiêu tiền vậy anh?,How much will the whole repair cost?,
chat_everyday_3_t2_you2,Tôi trả sau được không?,Can I pay later?,
chat_everyday_3_t3_them,"Xong rồi đó, chạy thử xem sao","All done, try starting it up",
chat_everyday_3_t3_you0,"Được, cảm ơn anh nhiều","Great, thank you so much",
chat_everyday_3_t3_you1,Đắt vậy?,That expensive?,
chat_everyday_3_t3_you2,Anh sửa xe lâu chưa?,Have you been a mechanic long?,
chat_everyday_4_opener,Anh/chị ở phòng nào vậy?,Which room are you staying in?,
chat_everyday_4_t0_them,"Dạ, mời anh/chị vào","Okay, please go ahead",
chat_everyday_4_t0_you0,Tôi ở phòng 302,I'm in room 302,
chat_everyday_4_t0_you1,Tôi không nhớ,I don't remember,
chat_everyday_4_t0_you2,Sao chú cần biết?,Why do you need to know?,
chat_everyday_4_t1_them,"Không có gì, chúc anh/chị một ngày tốt lành","No problem, have a good day",
chat_everyday_4_t1_you0,Cảm ơn chú,Thank you,
chat_everyday_4_t1_you1,Sao chú hỏi nhiều vậy,Why are you asking so much?,
chat_everyday_4_t1_you2,Chú làm ở đây lâu chưa?,Have you worked here long?,
chat_everyday_4_t2_them,"Dạ, thang máy bên trái đang sửa, anh/chị đi bên phải nhé","The left elevator is under repair, please use the right one",
chat_everyday_4_t2_you0,"Chú ơi, thang máy bên này có hoạt động không ạ?","Excuse me, is the elevator on this side working?",
chat_everyday_4_t2_you1,Thang máy hỏng lâu chưa vậy?,How long has the elevator been broken?,
chat_everyday_4_t2_you2,Tôi tự đi tìm được,I'll find it myself,
chat_everyday_4_t3_them,Dạ không có gì ạ,You're welcome,
chat_everyday_4_t3_you0,"Dạ, cảm ơn chú đã chỉ",Thank you for showing me,
chat_everyday_4_t3_you1,Sao không sửa sớm hơn,Why isn't it fixed already?,
chat_everyday_5_opener,Ai bán ve chai không?,Anyone selling scrap/recyclables?,
chat_everyday_5_t0_them,"Được, chị xem qua giúp em nhé","Sure, let me take a look",
chat_everyday_5_t0_you0,Tôi có mấy cái lon với giấy cũ,I have some cans and old paper,
chat_everyday_5_t0_you1,Tôi không có gì bán,I don't have anything to sell,
chat_everyday_5_t0_you2,Chị mua bao nhiêu một cân?,How much per kilo?,
chat_everyday_5_t1_them,Khoảng 20 nghìn thôi em,About 20k,
chat_everyday_5_t1_you0,Được bao nhiêu tiền vậy chị?,How much will this come to?,
chat_everyday_5_t1_you1,Chị tính rẻ vậy sao,You're pricing it that low?,
chat_everyday_5_t1_you2,Thôi khỏi cũng được,Never mind then,
chat_everyday_5_t2_them,"Dạ, cảm ơn em nhiều",Thank you so much,
chat_everyday_5_t2_you0,"Dạ được, cảm ơn chị","Sounds good, thank you",
chat_everyday_5_t2_you1,Ít vậy à,That little?,
chat_everyday_5_t2_you2,Chị lấy hết đồ trong nhà em luôn được không,Can you take everything in my house?,
chat_everyday_5_t3_them,"Dạ được, chị đi tiếp đây nhé","Sure thing, I'll be on my way",
chat_everyday_5_t3_you0,Lần sau em gọi chị lại nha,I'll call you again next time,
chat_everyday_5_t3_you1,Chị đi đâu suốt vậy,Where do you go all day?,
chat_everyday_6_opener,Cắt kiểu gì hôm nay anh?,What style are we cutting today?,
chat_everyday_6_t0_them,"Được, ngồi thoải mái nhé","Sure, get comfortable",
chat_everyday_6_t0_you0,Cắt ngắn gọn thôi anh,"Just a short, neat cut please",
chat_everyday_6_t0_you1,Tuỳ anh luôn,Whatever you think is best,
chat_everyday_6_t0_you2,Tóc tôi dài quá,My hair is too long,
chat_everyday_6_t1_them,"Ok, để tôi cắt thử nhé","Okay, let me start cutting",
chat_everyday_6_t1_you0,"Hai bên ngắn thôi, ở trên để dài chút","Short on the sides, a bit longer on top",
chat_everyday_6_t1_you1,Cắt sao cũng được,Cut it however,
chat_everyday_6_t1_you2,Giống ca sĩ Sơn Tùng,Like singer Sơn Tùng,
chat_everyday_6_t2_them,"Cảm ơn anh, có gội đầu không?",Thanks — want a shampoo too?,
chat_everyday_6_t2_you0,"Vậy được rồi anh, đẹp lắm","That looks great, thank you",
chat_everyday_6_t2_you1,Ngắn quá rồi,It's too short now,
chat_everyday_6_t2_you2,Anh cắt tóc lâu chưa?,Have you been a barber long?,
chat_everyday_6_t3_them,"Được, mời anh qua bên này","Great, come this way",
chat_everyday_6_t3_you0,"Dạ có, cảm ơn anh","Yes please, thank you",
chat_everyday_6_t3_you1,"Thôi khỏi, mất thời gian","No thanks, takes too long",
chat_everyday_6_t3_you2,Bao nhiêu tiền thêm vậy,How much extra is that?,
chat_everyday_7_opener,"Chào bạn, mình mới chuyển đến tầng này","Hi, I just moved to this floor",
chat_everyday_7_t0_them,"Mình ở phòng 405, cạnh bạn đó","I'm in 405, right next to you",
chat_everyday_7_t0_you0,"Chào bạn, rất vui được làm quen","Hello, nice to meet you",
chat_everyday_7_t0_you2,Bạn ở phòng nào vậy?,Which room are you in?,
chat_everyday_7_t1_them,"Cảm ơn bạn nhiều, bạn ở đây lâu chưa?","Thank you so much, how long have you lived here?",
chat_everyday_7_t1_you0,"Ồ vậy à, có gì cần giúp cứ nói nhé","Oh really, let me know if you need anything",
chat_everyday_7_t1_you1,Chúc may mắn nha,Good luck,
chat_everyday_7_t1_you2,Ở đây ồn lắm đó,It's really noisy here,
chat_everyday_7_t2_them,Vậy chắc bạn rành khu này lắm,So you must know the area well,
chat_everyday_7_t2_you0,Mình ở đây khoảng hai năm rồi,I've been here about two years,
chat_everyday_7_t2_you1,"Lâu lắm rồi, không nhớ nữa","A long time, I don't remember",
chat_everyday_7_t2_you2,Sao bạn hỏi vậy?,Why do you ask?,
chat_everyday_7_t3_them,"Cảm ơn bạn, chắc mình sẽ hỏi nhiều đó!","Thanks, I'll probably ask a lot!",
chat_everyday_7_t3_you0,"Cũng khá rành, có gì bạn cứ hỏi mình","Pretty well, feel free to ask me anything",
chat_everyday_7_t3_you1,Không rành lắm đâu,"Not that well, actually",
chat_everyday_7_t3_you2,"Mình bận lắm, không có thời gian đâu","I'm too busy, no time",
chat_everyday_8_opener,Anh/chị tìm gì ạ?,What are you looking for?,
chat_everyday_8_t0_them,"Dạ, sữa ở kệ bên kia, trứng ở tủ lạnh","Milk's on that shelf, eggs are in the fridge",
chat_everyday_8_t0_you0,Tôi tìm sữa và trứng,I'm looking for milk and eggs,
chat_everyday_8_t0_you1,Tôi không cần gì cả,I don't need anything,
chat_everyday_8_t0_you2,Cửa hàng này có gì?,What does this store have?,
chat_everyday_8_t1_them,"Bánh mì mới ra lò, ở góc kia","Fresh bread just came out, over in that corner",
chat_everyday_8_t1_you0,"Cảm ơn, còn bánh mì thì sao?","Thanks, what about bread?",
chat_everyday_8_t1_you1,Tôi tự tìm được,I'll find it myself,
chat_everyday_8_t1_you2,Bánh mì dở lắm ở đây,The bread here is bad,
chat_everyday_8_t2_them,"Dạ được, để tôi gói cho","Sure, let me bag it for you",
chat_everyday_8_t2_you0,Có túi giúp tôi được không?,Can I get a bag?,
chat_everyday_8_t2_you1,"Tôi không cần túi, tự bỏ vào áo","No bag, I'll just stuff it in my shirt",
chat_everyday_8_t2_you2,Túi ở đâu?,Where are the bags?,
chat_everyday_8_t3_them,"Dạ, 85 nghìn đồng ạ","That's 85,000 dong",
chat_everyday_8_t3_you0,Tổng cộng bao nhiêu vậy chị?,How much in total?,
chat_everyday_8_t3_you1,Tôi trả bằng gì cũng được,I'll pay however,
chat_everyday_8_t3_you2,Chắc rẻ thôi,Probably cheap,
chat_everyday_9_opener,Anh/chị có đặt hàng online không ạ?,Did you order something online?,
chat_everyday_9_t0_them,"Dạ, tên trên gói là...",The name on the package is...,
chat_everyday_9_t0_you0,"Dạ có, gói hàng của tôi đây phải không?","Yes, is this my package?",
chat_everyday_9_t0_you1,Tôi không đặt gì cả,I didn't order anything,
chat_everyday_9_t0_you2,Của ai vậy?,Whose is it?,
chat_everyday_9_t1_them,"Dạ, anh/chị ký vào đây giúp em",Please sign here,
chat_everyday_9_t1_you0,"Đúng rồi, đó là tôi","That's right, that's me",
chat_everyday_9_t1_you1,Không phải tôi đâu,That's not me,
chat_everyday_9_t1_you2,Tôi không chắc,I'm not sure,
chat_everyday_9_t2_them,"Dạ, ở đây, cảm ơn anh/chị","Right here, thank you",
chat_everyday_9_t2_you0,Ký ở đâu vậy?,Where do I sign?,
chat_everyday_9_t2_you1,Tôi không muốn ký,I don't want to sign,
chat_everyday_9_t2_you2,Ký bằng gì?,Sign with what?,
chat_everyday_9_t3_them,"Dạ, cảm ơn anh/chị, chào nhé!","Thank you, take care!",
