ID,Vietnamese_Text,English_Text,Vietnamese_Female_Sound,Vietnamese_Male_Sound,Why
word_tự nhiên,tự nhiên,natural / suddenly,,,missing
word_nổi tiếng,nổi tiếng,"celebrated, illustrious, famous, well-known",,,missing
word_lĩnh vực,lĩnh vực,field; domain; sphere,,,missing
word_kỹ thuật,kỹ thuật,Alternative spelling of kĩ thuật,,,missing
word_kinh nghiệm,kinh nghiệm,experience,,,missing
word_kiểm soát,kiểm soát,to control,,,missing
word_máy tính,máy tính,calculator (electronic device that performs mathematical c…,,,missing
word_tương lai,tương lai,future,,,missing
word_đồng ý,đồng ý,"to agree, to consent",,,missing
word_thể hiện,thể hiện,to show; to manifest itself; to reveal,,,missing
word_triển khai,triển khai,to expand (into); to extend; to widen,,,missing
word_hoàn thành,hoàn thành,"to finish, to complete",,,missing
word_tổng thống,tổng thống,president (of non-communist/non-socialist country),,,missing
word_sức khoẻ,sức khoẻ,health,,,missing
word_Nga,Nga,"of Russia, Russia’s, Russian",,,missing
word_ý kiến,ý kiến,opinion,,,missing
word_suy nghĩ,suy nghĩ,to think; to ponder,,,missing
word_tự do,tự do,free (not imprisoned; unconstrained,,,missing
word_cần thiết,cần thiết,necessary,,,missing
word_đồng thời,đồng thời,at the same time; simultaneously,,,missing
word_cẩn thận,cẩn thận,careful / carefully,,,missing
word_điều trị,điều trị,to receive or give medical treatment,,,missing
word_đề nghị,đề nghị,"to propose, to suggest",,,missing
word_đất nước,đất nước,country; nation,,,missing
word_ứng dụng,ứng dụng,app / application,,,missing
word_chủ tịch,chủ tịch,chairperson; person presiding over a meeting,,,missing
word_cuộc đời,cuộc đời,the period during which one lives,,,missing
word_xác định,xác định,"to decide, to determine",,,missing
word_bệnh nhân,bệnh nhân,"patient, sufferer",,,missing
word_Đức,Đức,a male given name from Chinese,,,missing
word_điều tra,điều tra,to investigate; to survey; to inquire,,,missing
word_chính sách,chính sách,a policy (especially in government),,,missing
word_hiện tại,hiện tại,presently; currently; current; the present,,,missing
word_giúp đỡ,giúp đỡ,to help,,,missing
word_theo dõi,theo dõi,to follow / monitor,,,missing
word_bình tĩnh,bình tĩnh,calm,,,missing
word_khách sạn,khách sạn,hotel,,,missing
word_đối tượng,đối tượng,"a subject, usually a human one, to study or experiment on",,,missing
word_thường xuyên,thường xuyên,frequently; regularly; usually; recurrently,,,missing
word_tạm biệt,tạm biệt,goodbye,,,missing
word_tiến hành,tiến hành,to carry out; to proceed; to conduct,,,missing
word_tài chính,tài chính,finance (management of money); budget,,,missing
word_chiến đấu,chiến đấu,to fight; to combat; to take action,,,missing
word_lo lắng,lo lắng,worried,,,missing
word_giải thích,giải thích,to explain; to explicate,,,missing
word_mặc dù,mặc dù,although; though,,,missing
word_thông qua,thông qua,to pass; to let through; to approve,,,missing
word_ý nghĩa,ý nghĩa,meaning / meaningful,,,missing
word_sở hữu,sở hữu,"to own, to hold",,,missing
word_công trình,công trình,construction project,,,missing
word_thông báo,thông báo,to tell; to report; to advise; to announce,,,missing
word_giai đoạn,giai đoạn,stage / phase,,,missing
word_hướng dẫn,hướng dẫn,to guide,,,missing
word_đăng ký,đăng ký,to register,,,missing
word_nước ngoài,nước ngoài,foreign; a foreign country,,,missing
word_không gian,không gian,"space; area, room",,,missing
word_phương pháp,phương pháp,method,,,missing
word_chấp nhận,chấp nhận,to accept; to approve; to admit,,,missing
word_vũ khí,vũ khí,weapon; arms,,,missing
word_chính thức,chính thức,official; formal; standard,,,missing
word_thú vị,thú vị,enjoyable; interesting,,,missing
word_đại diện,đại diện,to represent; representative; agent,,,missing
word_cụ thể,cụ thể,specific; detailed; concrete,,,missing
word_tình hình,tình hình,situation,,,missing
word_anh em,anh em,"y'all, you guys, my bros, my pals",,,missing
word_đến nỗi,đến nỗi,to the point that,,,missing
word_hấp dẫn,hấp dẫn,"to attract; attractive, captivating, seductive",,,missing
word_lực lượng,lực lượng,"force, strength",,,missing
word_nguyên nhân,nguyên nhân,"cause, reason",,,missing
word_hợp tác,hợp tác,to cooperate; to collaborate,,,missing
word_bí mật,bí mật,secret,,,missing
word_tinh thần,tinh thần,spirit / morale,,,missing
word_vô cùng,vô cùng,"ultimately; endless, infinite; infinity",,,missing
word_nghệ thuật,nghệ thuật,art,,,missing
word_tiếp theo,tiếp theo,to follow; to be next,,,missing
word_tác dụng,tác dụng,an effect (one someone or something) or efficacy,,,missing
word_đầy đủ,đầy đủ,fully / complete,,,missing
word_thông minh,thông minh,"clever, intelligent, smart",,,missing
word_khẳng định,khẳng định,to affirm; to confirm; to assert,,,missing
word_công nghiệp,công nghiệp,industry,,,missing
word_bao gồm,bao gồm,to include,,,missing
word_kết hợp,kết hợp,"to combine, to link up, to coordinate",,,missing
word_giao thông,giao thông,transportation; traffic,,,missing
word_chuyên gia,chuyên gia,expert; specialist,,,missing
word_chi tiết,chi tiết,detailed; meticulous; specific; detail,,,missing
word_diện tích,diện tích,area,,,missing
word_danh sách,danh sách,list,,,missing
word_ngày mai,ngày mai,tomorrow,,,missing
word_truyền thống,truyền thống,tradition / traditional,,,missing
word_ấn tượng,ấn tượng,impressive; impression,,,missing
word_chi phí,chi phí,cost / expense,,,missing
word_bạn bè,bạn bè,friends,,,missing
word_thương mại,thương mại,trade; commerce,,,missing
word_sức mạnh,sức mạnh,power; strength,,,missing
word_tồn tại,tồn tại,"to exist; persisting, unresolved",,,missing
word_hiện đại,hiện đại,modern,,,missing
word_nói dối,nói dối,to lie; to tell a lie,,,missing
word_tìm hiểu,tìm hiểu,to try to understand; to examine,,,missing
word_bất kỳ,bất kỳ,alternative spelling of bất kì,,,missing
word_y tế,y tế,medical / health care,,,missing
word_chức năng,chức năng,"a function, role or feature",,,missing
word_mục đích,mục đích,"a goal, a purpose, an aim or an objective",,,missing
word_nhanh chóng,nhanh chóng,rapid; quick; swift,,,missing
word_học tập,học tập,to study; to learn,,,missing
word_chính trị,chính trị,political; politics,,,missing
word_Đảng,Đảng,short for Đảng Cộng sản Việt Nam (“Communist Party of Viet…,,,missing
word_chiến thắng,chiến thắng,to win (against); to triumph (over),,,missing
word_áp dụng,áp dụng,to apply; to put into practice,,,missing
word_giải pháp,giải pháp,solution (to a problem),,,missing
word_vui vẻ,vui vẻ,happy; joyful,,,missing
word_việc làm,việc làm,job,,,missing
word_ổn định,ổn định,stable; secure; stability,,,missing
word_bố mẹ,bố mẹ,parents,,,missing
word_sự kiện,sự kiện,an event,,,missing
word_cộng đồng,cộng đồng,communal; public; a community,,,missing
word_bất ngờ,bất ngờ,sudden / surprise,,,missing
word_năng lượng,năng lượng,energy,,,missing
word_thành lập,thành lập,to establish; to set up; to found,,,missing
word_chiến tranh,chiến tranh,war (conflict involving organized use of arms),,,missing
word_số lượng,số lượng,"amount, quantity",,,missing
word_hội nghị,hội nghị,conference; meeting,,,missing
word_có mặt,có mặt,to be present (at),,,missing
word_một vài,một vài,"some, a few",,,missing
word_dân tộc,dân tộc,ethnic group / people,,,missing
word_chế độ,chế độ,a system,,,missing
word_Nam,Nam,a unisex given name from Chinese,,,missing
word_mạnh mẽ,mạnh mẽ,strongly; strong; powerful,,,missing
word_thoải mái,thoải mái,comfortable / relaxed,,,missing
word_giáo viên,giáo viên,teacher,,,missing
word_tốc độ,tốc độ,speed,,,missing
word_thị trấn,thị trấn,commune-level town (Vietnamese administrative unit),,,missing
word_thực phẩm,thực phẩm,foodstuff,,,missing
word_giám đốc,giám đốc,director,,,missing
word_phần mềm,phần mềm,software (encoded computer instructions),,,missing
word_quân đội,quân đội,"army, armed forces, military",,,missing
word_an ninh,an ninh,secure; security,,,missing
word_Nguyễn,Nguyễn,a surname from Chinese,,,missing
word_vai trò,vai trò,"a role or part that someone or something plays in life, in…",,,missing
word_thức ăn,thức ăn,food; non-rice and non-vegetable-soup food,,,missing
word_địa chỉ,địa chỉ,address,,,missing
word_nạn nhân,nạn nhân,victim,,,missing
word_di chuyển,di chuyển,"to transfer, to move",,,missing
word_cơ bản,cơ bản,basically; essentially; basic; essential,,,missing
word_vì vậy,vì vậy,therefore; consequently; so for that reason,,,missing
word_hợp đồng,hợp đồng,contract,,,missing
word_địa bàn,địa bàn,the whole territory; a turf,,,missing
word_màn hình,màn hình,screen,,,missing
word_Bắc,Bắc,a male given name from Chinese,,,missing
word_yếu tố,yếu tố,factor / element,,,missing
word_đồng chí,đồng chí,comrade; lad; dude,,,missing
word_Nhật Bản,Nhật Bản,Japanese,,,missing
word_liên lạc,liên lạc,to connect; to communicate,,,missing
word_cà phê,cà phê,coffee,,,missing
word_phối hợp,phối hợp,to coordinate (with); to cooperate (with),,,missing
word_trẻ em,trẻ em,children; kids,,,missing
word_chủ yếu,chủ yếu,"principally; mainly, mostly",,,missing
word_thu hút,thu hút,to draw (closer); to attract,,,missing
word_đáp ứng,đáp ứng,to respond (positively to); to meet (needs),,,missing
word_tư vấn,tư vấn,to offer expert or professional advice,,,missing
word_dữ liệu,dữ liệu,data; information,,,missing
word_cửa hàng,cửa hàng,store,,,missing
word_rắc rối,rắc rối,complicated; complex; intricate; troublesome,,,missing
word_pháp luật,pháp luật,law,,,missing
word_ý tưởng,ý tưởng,"idea, thought",,,missing
word_Được,Được,a unisex given name,,,missing
word_điều khiển,điều khiển,to control; to conduct; to manipulate,,,missing
word_thoả thuận,thoả thuận,to agree (to something),,,missing
word_hoàn hảo,hoàn hảo,perfect,,,missing
word_hội đồng,hội đồng,clipping of đánh hội đồng (“to gang up on”),,,missing
word_thương hiệu,thương hiệu,trademark,,,missing
word_phường,phường,ward (subdivision of a tỉnh or thành phố),,,missing
word_không khí,không khí,air / atmosphere,,,missing
word_liên tục,liên tục,continuously; continuous,,,missing
word_trò chơi,trò chơi,a game (playful or competitive activity),,,missing
word_tích cực,tích cực,"positive (favorable, desirable; optimistic)",,,missing
word_căn hộ,căn hộ,apartment,,,missing
word_tài sản,tài sản,property; assets; wealth,,,missing
word_điều hành,điều hành,to manage; to run; to operate,,,missing
word_phiên bản,phiên bản,version; edition; reproduction,,,missing
word_kiến thức,kiến thức,"knowledge, science",,,missing
word_công an,công an,police,,,missing
word_phong cách,phong cách,manner; bearing; style,,,missing
word_hạn chế,hạn chế,to limit; to restrict; to restrain,,,missing
word_ánh sáng,ánh sáng,light; spiritual or mental illumination,,,missing
word_công bố,công bố,to announce; to proclaim; to publish,,,missing
word_xung quanh,xung quanh,around; round; about; surrounding,,,missing
word_mở rộng,mở rộng,to extend; to expand; to enlarge,,,missing
word_sáng tạo,sáng tạo,to create; creative,,,missing
word_hình thức,hình thức,"model, form",,,missing
word_tác phẩm,tác phẩm,"work, especially work of art",,,missing
word_ủng hộ,ủng hộ,to support,,,missing
word_giao dịch,giao dịch,"to meet, to contact, to exchange (often about work)",,,missing
word_hết sức,hết sức,"with all one's might, with all one's strength",,,missing
word_chỉ đạo,chỉ đạo,to guide; to lead; to steer; to conduct,,,missing
word_tai nạn,tai nạn,accident,,,missing
word_thanh niên,thanh niên,"you/he/him, a young dude",,,missing
word_tài liệu,tài liệu,document / material,,,missing
word_bao lâu,bao lâu,how long,,,missing
word_tin tưởng,tin tưởng,to believe; to trust,,,missing
word_chúc mừng,chúc mừng,to congratulate (on); to wish well,,,missing
word_thí sinh,thí sinh,"a student who is about to take, or is in the process of ta…",,,missing
word_quảng cáo,quảng cáo,advertisement / to advertise,,,missing
word_tỷ lệ,tỷ lệ,Alternative spelling of tỉ lệ,,,missing
word_quần áo,quần áo,clothes,,,missing
word_xuất khẩu,xuất khẩu,to export,,,missing
word_tăng cường,tăng cường,to strengthen; to reinforce,,,missing
word_trao đổi,trao đổi,to exchange; to swap; to interchange,,,missing
word_tiết kiệm,tiết kiệm,to save / thrifty,,,missing
word_sai lầm,sai lầm,mistaken; wrong; erroneous; mistake,,,missing
word_bổ sung,bổ sung,"to supplement; additional, supplementary",,,missing
word_chỉ huy,chỉ huy,to command; to conduct; to lead; a commander,,,missing
word_trái tim,trái tim,heart (as seat of emotions),,,missing
word_kết nối,kết nối,"to connect, to link",,,missing
word_thất bại,thất bại,to fail; to be unsuccessful; to be defeated,,,missing
word_khai thác,khai thác,"to exploit (resources, etc.); to make use of",,,missing
word_tập đoàn,tập đoàn,"a group of people with the same goal or aim, such as a cli…",,,missing
word_ngạc nhiên,ngạc nhiên,to be surprised; to be astonished,,,missing
word_mong muốn,mong muốn,to wish; to desire; desire,,,missing
word_chuyên nghiệp,chuyên nghiệp,professional; vocational,,,missing
word_tốt nghiệp,tốt nghiệp,to graduate,,,missing
word_mô hình,mô hình,model,,,missing
word_tham dự,tham dự,"to participate/take part/partake, especially in a formal o…",,,missing
word_đôi khi,đôi khi,sometimes; occasionally,,,missing
word_góp phần,góp phần,to contribute to (something),,,missing
word_chứng minh,chứng minh,to prove (to demonstrate that something is true,,,missing
word_thể thao,thể thao,a sport (any athletic activity that uses physical skills),,,missing
word_phân tích,phân tích,to analyze,,,missing
word_cha mẹ,cha mẹ,parents,,,missing
word_liên hệ,liên hệ,"to contact, especially by phone",,,missing
word_khán giả,khán giả,audience,,,missing
word_điện tử,điện tử,electronic,,,missing
word_vệ sinh,vệ sinh,hygiene; sanitation; personal health practices,,,missing
word_nhân vật,nhân vật,character / figure,,,missing
word_kéo dài,kéo dài,to prolong / last,,,missing
word_bộ phận,bộ phận,part; section; component; division,,,missing
word_ví dụ,ví dụ,"supposing that, for example",,,missing
word_tiến sĩ,tiến sĩ,doctor; doctorate,,,missing
word_Hồ Chí Minh,Hồ Chí Minh,Ho Chi Minh City,,,missing
word_dĩ nhiên,dĩ nhiên,of course,,,missing
word_chính quyền,chính quyền,government,,,missing
word_quý khách,quý khách,customer (formal),,,missing
word_đồng hồ,đồng hồ,watch,,,missing
word_ung thư,ung thư,cancer,,,missing
word_vận động,vận động,"to do a physical activity, as opposed to staying sedentary",,,missing
word_trang bị,trang bị,to equip; equipment,,,missing
word_luật sư,luật sư,lawyer,,,missing
word_thủ tục,thủ tục,procedure; formalities,,,missing
word_tình cảm,tình cảm,sentimental; emotional; affection,,,missing
word_tương tự,tương tự,"similar to, alike to",,,missing
word_tốt đẹp,tốt đẹp,good; fine,,,missing
word_chiến lược,chiến lược,strategic; strategy,,,missing
word_hôm qua,hôm qua,yesterday,,,missing
word_xuất sắc,xuất sắc,excellent,,,missing
word_dấu hiệu,dấu hiệu,a telltale sign,,,missing
word_nhà trường,nhà trường,school (generally speaking); school authority,,,missing
word_biện pháp,biện pháp,method; measure,,,missing
word_thanh tra,thanh tra,to inspect; to check; to investigate,,,missing
word_điều chỉnh,điều chỉnh,to change for a desired outcome; to adjust,,,missing
