ID,Vietnamese_Text,English_Text,Vietnamese_Sound
concept_c12_HanghctingVit,Họ đang học tiếng Việt.,They are studying Vietnamese.,
concept_c13_BncnitingAnhkhng,Bạn có nói tiếng Anh không?,Do you speak English?,
concept_c13_Bncikhng,Bạn có đói không?,Are you hungry?,
concept_c14_bnmilm,bốn mươi lăm,forty-five,
concept_c14_nmminghnng,năm mươi nghìn đồng,fifty thousand dong,
concept_c14_bamihainghnng,ba mươi hai nghìn đồng,thirty-two thousand dong,
concept_c15_Hmquamnhxemphimri,Hôm qua mình xem phim rồi.,I already watched a movie yesterday.,
concept_c15_Mnhhiuri,Mình hiểu rồi.,I understand now.,
concept_c15_Tinri,Tôi ăn rồi.,I already ate.,
concept_c16_Chiunaymnhiungcphnh,Chiều nay mình đi uống cà phê nhé?,Shall we go drink coffee this afternoon?,
concept_c16_Hmnaychngtainh,Hôm nay chúng ta đi nhé?,Shall we go today?,
concept_c16_Ngymaitinph,Ngày mai tôi ăn phở.,Tomorrow I will eat pho.,
concept_c17_Ticbnhm,Tôi có bánh mì.,I have bread.,
concept_c17_ycbnhm,Ở đây có bánh mì.,There is bread here.,
concept_c17_Tikhngc,Tôi không có.,I do not have any.,
concept_c18_Trirtmt,Trời rất mát.,The weather is very cool.,
concept_c18_Trrtnng,Trà rất nóng.,The tea is very hot.,
concept_c18_Camhmnayrtti,Cam hôm nay rất tươi.,The oranges today are very fresh.,
concept_c19_Gihngcabny,Gói hàng của bạn đây ạ.,Here is your package.,
concept_c19_Mcatiltmchnkhng,Mã của tôi là tám chín không.,My code is eight-nine-zero.,
concept_c19_inthoicati,Điện thoại của tôi.,My phone.,
concept_c20_tin,tiền,money,
concept_c20_gi,giá,price,
concept_c20_ng,đồng,Vietnamese currency,
concept_c20_r,rẻ,cheap,
concept_c20_t,đắt,expensive,
concept_c20_tqu,đắt quá,too expensive,
concept_c20_baonhiutin,bao nhiêu tiền?,how much is it?,
concept_c20_tngcng,tổng cộng,total,
concept_c20_tnhtin,tính tiền,"the bill, please",
concept_c20_tinmt,tiền mặt,cash,
concept_c20_th,thẻ,card,
concept_c20_trtin,trả tiền,to pay,
concept_c20_tinthi,tiền thối,change (money),
concept_c20_han,hóa đơn,receipt,
concept_c20_trbngthckhng,trả bằng thẻ được không?,can I pay by card?,
concept_c20_mua,mua,to buy,
concept_c20_bn,bán,to sell,
concept_c20_gimgi,giảm giá,discount,
concept_c21_Timuntrli,Tôi muốn trả lại.,I want to return it.,
concept_c21_Timunhontin,Tôi muốn hoàn tiền.,I want a refund.,
concept_c21_Ticni,Tôi cần đi.,I need to go.,
concept_c22_Phngcatikhngcncnng,Phòng của tôi không có nước nóng.,My room has no hot water.,
concept_c22_Cclnhnkhng,Có cỡ lớn hơn không?,Do you have a bigger size?,
concept_c22_Tithchtr,Tôi thích trà đá.,I like iced tea.,
concept_c23_Tisi,Tôi sẽ đi.,I will go.,
concept_c23_Emsn,Em sẽ ăn.,I will eat.,
concept_c23_Anhslm,Anh sẽ làm.,I will do it.,
concept_c24_Tilmvicmttrnghchainm,Tôi đã làm việc ở một trường học hai năm.,I worked at a school for two years.,
concept_c24_Cyn,Cô ấy đã ăn.,She ate.,
concept_c24_Chngtii,Chúng tôi đã đi.,We went.,
