ID,Vietnamese_Text,English_Text,Vietnamese_Female_Sound,Vietnamese_Male_Sound
lesson_vi2_l7_d2,"Tên bà là gì vậy? Tất cả mọi người trên phố đều biết bà, nghe nói bà thành công lắm.","What was grandma's name? Everyone on the street knows her, I heard she was very successful.",,
lesson_vi2_l7_d3,"Đó không phải lỗi tại ai đâu, chỉ là bà rất giỏi thôi, sau này cháu muốn giống bà.","That's nobody's fault, she was just very talented — later I want to be like her.",,
lesson_vi2_l8_d0,Ngày khác mình đi xem phim được không? Hôm nay bọn mình bận quá.,Can we go watch a movie another day? We're too busy today.,,
lesson_vi2_l8_d1,"Chắc được, mình vẫn thích cách bạn lên kế hoạch, cứ theo ý bạn đi.","Sure, I still like the way you plan things, just go along with your idea.",,
lesson_vi2_l8_d2,"Vậy hẹn gặp nhau ngay cuối tuần này qua nhé, mình sống gần rạp phim luôn.","Then let's meet right this weekend, I live close to the cinema anyway.",,
lesson_vi2_l8_d3,"Ừ, nhìn chung là ổn, mình cùng đi với nhau cho vui.","Yeah, overall that's fine, let's go together for fun.",,
lesson_vi2_l9_d0,"Bạn mới xem phim gì mà hay vậy? Chào bạn, lâu rồi mới gặp.","What new movie did you watch that was so good? Hi, long time no see.",,
lesson_vi2_l9_d1,"Phim đó kể rằng có hai nhân vật, một người là quan lớn, ngài ấy tự tay giết kẻ xấu để giúp dân.","That movie tells the story of two characters — one is a high official, he personally kills the villain to help the people.",,
lesson_vi2_l9_d2,"Nghe hấp dẫn lắm, lúc nào rảnh bảo mình mượn xem với.","Sounds really gripping, whenever you're free let me know so I can borrow it too.",,
lesson_vi2_l9_d3,"Được, để mình gọi lấy đĩa phim đưa cho bạn, xem xong nhớ nói cho mình hiểu đoạn cuối nha vì mình chưa hiểu hết.","Sure, let me call and grab the disc to give you — after watching, remember to explain the ending to me because I didn't fully understand it.",,
lesson_vi2_l10_d0,"Lần này chính tay cha tôi sửa xe, mất cả buổi luôn.","This time my father fixed the car himself, it took the whole afternoon.",,
lesson_vi2_l10_d1,"Vậy hả? Cuộc sống bận rộn ghê, ba tôi cũng định bỏ chiếc xe cũ đi mua xe mới.",Really? Life is so busy — my dad also plans to give up the old car and buy a new one.,,
lesson_vi2_l10_d2,"Chúa ơi, năm nay đồ đạc gì cũng mắc, nhân tiện, anh đã nhận được lương chưa?","Oh my goodness, everything's so expensive this year — by the way, have you received your salary yet?",,
lesson_vi2_l10_d3,"Chưa, chắc phải chờ vài ngày nữa mới khỏi lo vụ tiền bạc.","Not yet, probably have to wait a few more days before I stop worrying about the money situation.",,
lesson_vi2_l11_d0,"Chị ơi, mấy đứa con gái nhà mình đang chơi ngoài đường, chị ra gọi tụi nó vào nhé.","Hey sis, the girls are playing out on the street, go call them in, okay?",,
lesson_vi2_l11_d1,"Vâng, để em ra liền, thời gian này trời tối nhanh lắm.","Yes, I'll go right away, these days it gets dark fast.",,
lesson_vi2_l11_d2,"Đúng rồi, do trời trở lạnh nên mình phải cẩn thận hơn, với lại tụi nhỏ hay quên mặt đường về nhà.","Right, because the weather's turning cold we have to be more careful, plus the kids often forget the way home.",,
lesson_vi2_l11_d3,"Gia đình mình lúc nào cũng lo cho nhau như vậy, em thấy nơi này thật ấm áp, có tiền cũng không mua được lời nói yêu thương này đâu.",Our family always worries about each other like this — I find this place so warm; money can't buy words of love like this.,,
lesson_vi2_l12_d0,Bây giờ anh xuống phòng kho lấy đồ được chưa? Hàng giao sắp tới rồi.,Can you go down to the storeroom to get the goods now? The delivery is coming soon.,,
lesson_vi2_l12_d1,"Thưa chị, thực ra đồ toàn để ở ngoài sân rồi ạ.","Actually ma'am, the stuff is all placed outside in the yard already.",,
lesson_vi2_l12_d2,"Vậy à, sát giờ giao hàng mà từng món chưa kiểm bằng số hết, chẳng ai để ý cả.","Really, it's right before delivery time and each item hasn't been checked against the count yet — nobody paid attention at all.",,
lesson_vi2_l12_d3,"Thằng nhóc phụ việc bữa nay bất cẩn ghê, để em kiểm lại ngay.","The kid helping out today was really careless, let me recheck it right away.",,
lesson_vi2_l13_d0,"Chú ơi, chú có nhớ hồi cháu còn đi học đại học không?","Uncle, do you remember when I was still in university?",,
lesson_vi2_l13_d1,"Nhớ chứ, hồi đó cháu học nhanh lắm, cố gắng dữ lắm mới đậu.","Of course I remember, back then you learned fast, you tried really hard to pass.",,
lesson_vi2_l13_d2,"Cháu có một chỗ làm mới, thấy cũng tuyệt, nhưng đôi lúc còn hỏi bản thân không biết mình chọn đúng chưa.","I have a new job, it feels great, but sometimes I still ask myself whether I chose right.",,
lesson_vi2_l13_d3,"Đó là lẽ tự nhiên thôi, ai cũng vậy, cứ tiếp tục cố gắng rồi mọi thứ sẽ ổn.","That's just natural, everyone's like that — just keep trying and everything will be fine.",,
lesson_vi2_l14_d0,"Bạn ơi, bên đó vui không? Mọi thứ ổn cả chứ?","Hey, is it fun over there? Is everything okay?",,
lesson_vi2_l14_d1,"Ổn, tâm trạng vui vẻ lắm, tụi mình gặp vài người bạn sinh viên ở nước ngoài giống hồi xưa.","Good, in a really happy mood — we met a few student friends abroad, just like the old days.",,
lesson_vi2_l14_d2,"Vậy tốt, có vấn đề gì thì nhớ nhắn mình, mình sẽ tìm cách cứu vãn tình hình.","That's great, if there's any problem remember to text me, I'll find a way to help fix the situation.",,
lesson_vi2_l14_d3,"Cảm ơn bạn, để mình trả tiền vé xong rồi bàn tiếp về chủ đề khác.","Thanks, let me pay for the ticket first, then we'll continue discussing another topic.",,
lesson_vi2_l15_d0,Tối qua có chuyện gì xảy ra ngoài kia vậy? Nghe nói mấy đứa con trai đi chơi rồi đánh nhau.,What happened out there last night? I heard some guys went out and got into a fight.,,
lesson_vi2_l15_d1,"Ừ, cảnh đó ầm ĩ lắm, may mà công an giữ trật tự kịp, không thì hành động quá đà rồi.","Yeah, that scene was really loud — luckily the police kept order in time, otherwise things would've gone too far.",,
lesson_vi2_l15_d2,Cuối cùng kết quả thế nào? Bởi vì sao mà đánh nhau vậy?,So how did it end up? Why did they fight in the first place?,,
lesson_vi2_l15_d3,"Nghe đâu là chuyện hiểu lầm nhỏ thôi, mới vừa giải quyết xong cách đây một tiếng.","I heard it was just a small misunderstanding, it just got resolved an hour ago.",,
lesson_vi2_l16_d0,Hôm nay có báo gì mới không? Mình chờ lâu quá rồi.,Is there any news today? I've been waiting so long.,,
lesson_vi2_l16_d1,"Bác ơi, cháu tưởng bác biết rồi chứ, sáng nay có một vấn đề quan trọng vừa được thông báo.","Uncle, I thought you already knew — this morning an important matter was just announced.",,
lesson_vi2_l16_d2,"Vậy à, đáng lo thật, nhưng bình tĩnh đi, chắc không có gì lớn đâu.","Really, that's worrying, but calm down, it's probably nothing big.",,
lesson_vi2_l16_d3,"Cám ơn bác đã nói cho cháu biết, cháu thấy hình như mọi chuyện cũng đủ rõ rồi ạ.","Thanks for letting me know, I feel like everything is clear enough now.",,
lesson_vi2_l17_d0,"Ôi, mình sợ ma thần lắm, đừng kể chuyện đó nữa được không?","Oh, I'm really scared of ghosts, please stop telling that story, okay?",,
lesson_vi2_l17_d1,"Thương bạn ghê, thôi mình xin lỗi, chuyện đó đặc biệt hiếm khi xảy ra thật đâu.","Aww, I feel for you, sorry — that kind of thing especially rarely actually happens.",,
lesson_vi2_l17_d2,"Nói vậy nghe cũng hợp lý, nhưng nghe giọng bạn kể có vẻ thông thường như thật quá.","That does sound reasonable, but the way you told it sounded so normal, like it was true.",,
lesson_vi2_l17_d3,"Cuối cùng thì đóng cửa phòng lại rồi ngủ đi, dùng đèn ngủ cho rõ sáng nếu cần.","In the end, just close the room door and go to sleep — use a night light if you need it clear and bright.",,
lesson_vi2_l18_d0,"Sáng nay đội mình đá cầu ngoài sân, ba với chú cũng ra chạy thêm cho vui.","This morning our team played kicking-shuttlecock outside, dad and uncle also went out to run some more for fun.",,
lesson_vi2_l18_d1,"Vậy hội mình đông vui ghê, có đứa nào mang bóng ra chưa?",So our group is nice and lively — has anyone brought the ball out yet?,,
lesson_vi2_l18_d2,"Có rồi, nhưng thân thể mình dạo này hơi yếu, chạy vài vòng là muốn ngủ luôn giữa trời nắng.","Yeah, but my body's been a bit weak lately — run a few laps and I already want to sleep right there under the sun.",,
lesson_vi2_l18_d3,"Cả đời mình chưa thấy ai lười vận động như bạn, thôi để tra xem hôm nay có nên nghỉ không.",In my whole life I've never seen anyone as lazy about exercise as you — let's just look it up whether we should rest today.,,
lesson_vi2_l19_d0,Đổi ý rồi à? Sao nhỏ lại quyết định không bay chuyến này nữa?,Changed your mind? Why did you decide not to fly on this trip anymore?,,
lesson_vi2_l19_d1,"Dạ, vì hôm nay điện thoại gọi báo mẹ em bị bệnh nhẹ, em phải ở gần nhà chăm sóc.","Yeah, because today a phone call reported my mom got a little sick, I have to stay near home to take care of her.",,
lesson_vi2_l19_d2,"Vậy có nghĩa gì đâu, an toàn của mẹ là quan trọng nhất, đối với mình chuyến bay có thể dời được.","That doesn't mean anything — mom's safety is most important, as far as I'm concerned the flight can be postponed.",,
lesson_vi2_l19_d3,"Cảm ơn anh, dù sao cũng phải bảo vệ sức khỏe của mẹ trước, thức đêm chăm mẹ chắc cũng không sao, trẻ mà, hoàn toàn chịu được.","Thanks, either way I have to protect mom's health first — staying up at night to take care of her should be fine, I'm young, I can totally handle it.",,
lesson_vi2_l20_d0,"Trước cổng trường, mình đứng đợi hoài mà không thấy con đâu, nhỉ?","In front of the school gate, I've been standing waiting for so long and don't see the kid, huh?",,
lesson_vi2_l20_d1,"Ngồi xuống nghỉ chút đi, chắc con còn kể chuyện với bạn trong sân thôi, đừng lo.","Sit down and rest a bit — the kid's probably still telling stories with friends in the yard, don't worry.",,
lesson_vi2_l20_d2,"Ừ, nhưng mình tính đi coi thử, mảnh đất trống phía xa kia trông hơi vắng người, sợ con đi lạc.","Yeah, but I'm thinking of going to check — that empty plot of land far over there looks a bit deserted, I'm worried the kid got lost.",,
lesson_vi2_l20_d3,"Chưa chứng kiến chuyện gì xấu bao giờ, con vẫn chịu khó tự tìm đường về được mà, đừng quyết định chạy đi tìm vội, để dành năng lượng lát nữa mình đi luôn cho nhanh.","We've never witnessed anything bad happen — the kid still manages to find the way back diligently, don't decide to rush off looking right away, save your energy so we can just go together in a bit, faster.",,
lesson_vi2_l21_d0,Con tập bài xong chưa? Sắp tới giờ ăn tối rồi đó.,Did you finish practicing your lesson? It's almost dinner time.,,
lesson_vi2_l21_d1,"Dạ sắp xong rồi mẹ, con chỉ còn kiểm lại vài câu nữa thôi, mẹ mở cửa sổ cho mát được không?","Almost done, mom, I just have a few sentences left to check — can you open the window so it's cooler?",,
lesson_vi2_l21_d2,"Được, mẹ mở luôn đây, con muốn uống nước cam hoặc trà đá gì không? Giá nào cũng có sẵn hết.","Sure, opening it now — do you want to drink orange juice or iced tea? Either kind is already available.",,
lesson_vi2_l21_d3,"Con uống nước cam đi mẹ, với lại cây đàn của con dây hơi cao quá, mẹ giúp con chỉnh xuống dưới một chút với ạ, còn khẩu súng đồ chơi thì con dừng chơi rồi, đừng lo.","I'll have orange juice, mom — also my guitar string is a bit too high, can you help me lower it down a bit, and I've stopped playing with the toy gun, don't worry.",,
lesson_vi2_l22_d0,"Mắt mình dạo này thấy hơi mờ, chắc phải thử đi khám bác sĩ chuyên khoa mắt mới được.","My eyes have been a bit blurry lately, I think I need to try seeing an eye specialist doctor.",,
lesson_vi2_l22_d1,"Ừ, chọn một bác sĩ giỏi rồi đặt lịch khám thôi, đừng chủ quan quá kẻo thành chuyện lớn.","Yeah, just pick a good doctor and book an appointment — don't be too careless about it or it'll become a big deal.",,
lesson_vi2_l22_d2,"Cũng đâu có gì điên rồ, chỉ là công việc gần đây thay đổi nhiều, mọi thứ biến chuyển nhanh quá làm mắt mỏi.","It's not anything crazy, it's just that work has changed a lot lately — everything's shifting so fast it's tiring my eyes.",,
lesson_vi2_l22_d3,"Nghe cũng có lòng lo cho sức khỏe rồi đó, cứ theo kế hoạch của bác sĩ trưởng khoa, uống thuốc loại mạnh hơn nếu cần.","That sounds like you genuinely care about your health — just follow the head doctor's plan, take a stronger type of medicine if needed.",,
lesson_vi2_l23_d0,"Cuối tuần này có trận đấu bóng đá, dễ thắng lắm, vợ anh có đi coi không?","This weekend there's a soccer match, easy to win — is your wife coming to watch?",,
lesson_vi2_l23_d1,"Có chứ, cô ấy còn có kiến thức về bóng đá, giúp anh sử dụng app thống kê điểm số để theo dõi trận đấu nữa.","Yeah, she even knows a lot about soccer — she's helping me use the app that tracks scoring stats to follow the match.",,
lesson_vi2_l23_d2,"Trái banh phía đội kia trông khá mạnh, tiến bộ nhiều so với mùa trước, đừng chủ quan kẻo sai lầm.","The ball on that other team's side looks pretty strong, they've improved a lot compared to last season — don't be careless or you'll make a mistake.",,
lesson_vi2_l23_d3,"Ừ, tệ nhất là để lọt lưới sớm, nhưng đội mình phòng thủ chắc chắn lắm, kết quả chắc sẽ ổn thôi, không đến nỗi khốn khổ đâu.","Yeah, the worst is letting in an early goal, but our team's defense is really solid — the result will probably be fine, not that miserable.",,
lesson_vi2_l24_d0,"Chết rồi, mình quên mua vé tàu tuần này, giờ chỉ còn vài phút là tàu chạy thôi!","Oh no, I forgot to buy the train ticket this week, now there are only a few minutes left before the train leaves!",,
lesson_vi2_l24_d1,"Bình tĩnh, còn kịp mà, chạy nhanh chân lên, đừng để lỡ chuyến duy nhất trong ngày.","Calm down, there's still time — run fast, don't miss the only trip of the day.",,
lesson_vi2_l24_d2,"May quá, mình vừa kịp mua vé, hơi kinh hồn một chút nhưng cũng ổn rồi.","Lucky, I just managed to buy the ticket in time — a bit terrifying for a moment but it's okay now.",,
lesson_vi2_l24_d3,"Mừng cho bạn, lần này coi như một kỳ tích, để dành trí nhớ mà nhớ mang vé lần sau, đỡ tốn sức chạy.","Glad for you, this time it's like a miracle — save that memory so you remember to bring the ticket next time, save yourself the effort of running.",,
lesson_vi2_l25_d0,"Tháng sau là đám cưới rồi, mỗi buổi tối mình đều ngồi viết thư mời khách quý.","The wedding is next month, every evening I sit writing invitation letters for the honored guests.",,
lesson_vi2_l25_d1,"Kìa, tài liệu đặt tiệc ở phố trung tâm xong chưa? Có xin phép chủ nhà hàng đổi ngày chưa?","Look, is the paperwork for booking the party downtown done yet? Did you ask the restaurant owner's permission to change the date?",,
lesson_vi2_l25_d2,"Xong rồi, mai mình với chồng sắp cưới sẽ ra ký hợp đồng, cũng có mấy trò vui định diễn cho khách xem nữa.","Done — tomorrow my husband-to-be and I will go sign the contract, there are also some fun acts we plan to perform for the guests.",,
lesson_vi2_l25_d3,"Vậy chắc chắn nổi bật lắm đây, quyền quyết định cuối cùng vẫn ở bạn thôi, cứ vậy mà làm.","That'll definitely stand out then — the final decision-making authority is still yours, just go with it.",,
lesson_vi2_l26_d0,"Vị khách quốc tế này muốn mua một đôi giày làm theo phương pháp thủ công truyền thống, cửa hiệu mình có không?","This international customer wants to buy a pair of shoes made using a traditional handmade method, does our shop have that?",,
lesson_vi2_l26_d1,"Có chứ, mặc thử xem có vừa không, đây là hàng làm đúng phong tục dân gian của mình, còn có cả họa tiết vũ điệu dân tộc nữa.","Sure, try wearing them to see if they fit — this is made according to our own folk customs, and even has traditional dance-pattern designs on it.",,
lesson_vi2_l26_d2,"Vậy để tôi giải đơn hàng và giải thích thêm, mỗi độ tuổi thật ra có hệ thống sở thích khác nhau về kiểu dáng, khá thú vị đó.","Then let me handle the order and explain more — actually, each age group has a different system of taste in style, quite interesting.",,
lesson_vi2_l26_d3,"Yên tâm đi, khách trông có vẻ hài lòng lắm rồi, mặt còn hồng hào lên vì máu nghệ thuật nổi lên, đừng phá hỏng không khí vui vẻ này, cũng đừng để chuyện gì khiến khách đổi ý.","Don't worry, the customer looks quite satisfied already, their face even flushed with artistic enthusiasm — don't ruin this pleasant atmosphere, and don't let anything cause the customer to change their mind.",,
lesson_vi2_l27_d0,"Bàn này bày sách với hồ cá coi cũng hay ha, nuôi cá cảnh có luật quy định gì không nhỉ?","This desk with a fish tank and books looks nice, huh — are there rules for keeping ornamental fish?",,
lesson_vi2_l27_d1,"Ư, hình như phải có tiêu chuẩn về mức độ an toàn, với lại đừng để chó nhà mình phạm phải chuyện nguy hiểm gần hồ.","Hmm, seems like there has to be some safety standard, and also don't let our dog get into anything dangerous near the tank.",,
lesson_vi2_l27_d2,"Đúng rồi, để mình tạo ra một khu vực riêng, dẫn chó ra chỗ khác chơi cho mau, khỏi lo nó phá.","Right, let me create a separate area, lead the dog out to play somewhere else quickly, no need to worry about it wrecking things.",,
lesson_vi2_l27_d3,"Cứ vậy đi, tiện thể lên mạng tra thêm coi có quy định hoàng gia hay tiêu chuẩn quốc tế nào phục vụ cho việc chăm cá cảnh bao nhiêu là đủ không.","Sure, do that — while you're at it look online to check if there are any royal-style or international standards for how much fish-tank care is enough.",,
lesson_vi2_l28_d0,Sếp vừa gọi điện thoại chúc mừng nhóm mình hoàn thành nhiệm vụ đúng hạn.,The boss just called to congratulate our team on completing the task on time.,,
lesson_vi2_l28_d1,"Ổng vui lắm, còn nói dự án này giúp công ty tránh được rủi ro gây thiệt hại lớn.","He's very happy, and even said this project helped the company avoid risks that would've caused big losses.",,
lesson_vi2_l28_d2,"Ừ, cả khu vực kinh doanh đều biết danh tiếng nhóm mình rồi, không còn ai tranh cãi về năng lực nữa.","Yeah, the whole business division already knows our team's reputation, nobody argues about our competence anymore.",,
lesson_vi2_l28_d3,"Thắng lợi này thúc đẩy tinh thần cả đội luôn, thay áo mới ăn mừng dưới gốc cây thôi, hy vọng lần sau còn xuất sắc hơn, đừng để có gì xấu xảy ra.","This win boosts the whole team's morale — let's change into new clothes and celebrate under the tree, hope next time is even better, let's hope nothing bad happens.",,
lesson_vi2_l29_d0,"Sản phẩm này khá ngon, mình định bán ở khu vực địa phương trước rồi tính chuyện mở rộng.","This product is quite good, I'm planning to sell it in the local area first, then think about expanding.",,
lesson_vi2_l29_d1,"Ý tưởng cũng thiết thực đó, nhưng nhớ giữ bí mật thông tin, tránh để lộ ra ngoài rồi bị người khác xử lý trước.","That idea is practical, but remember to keep the information confidential, avoid leaking it and having someone else handle it first.",,
lesson_vi2_l29_d2,"Yên tâm, tài liệu trình bày chỉ tạm thời lưu ở đây thôi, cấp trên chưa ai có thể thoát khỏi vòng kiểm soát mà lấy được đâu.","Don't worry, the presentation materials are only stored here temporarily, not even upper management can escape the monitoring and get it.",,
lesson_vi2_l29_d3,"Vậy khá chắc rồi, cứ quyết chí làm, coi như bước tấn công đầu tiên vào thị trường, đừng để giả thuyết sai làm tiệt đường cơ hội, cũng nhớ chuẩn bị đủ tài liệu dự phòng.","That's pretty solid then — just commit to it wholeheartedly, treat it as the first move into the market, don't let a wrong assumption completely cut off the opportunity, and remember to prepare enough backup materials.",,
lesson_vi2_l30_d0,"Em đoán thử xem, anh có kế hoạch gì đặc biệt cho cuối tuần này không?",Guess — do you have any special plan for this weekend?,,
lesson_vi2_l30_d1,"Chàng trai như anh làm sao nói dối em được, anh mời em đi dạo giữa trung tâm thành phố, rồi ăn tối sớm một chút.","A guy like me could never lie to you — I invite you to walk around downtown, then have dinner a bit early.",,
lesson_vi2_l30_d2,"Nghe tuyệt vời quá, nhưng anh nhớ đừng rời khỏi chỗ hẹn trước khi em tới nha, với lại viết sẵn địa chỉ quán cho em.","Sounds wonderful, but remember don't leave the meeting spot before I arrive, okay, and also write down the restaurant's address for me.",,
lesson_vi2_l30_d3,"Anh hứa luôn, thanh toán trước xong hết rồi, giờ chỉ nằm chờ dự báo thời tiết coi trời có thiên về nắng ráo để đi chơi không thôi, đâu có ai ra lệnh dịch chuyển kế hoạch này được đâu.","I promise — payment's already settled, now I'm just lying here waiting for the weather forecast to see if it's leaning toward clear skies for going out — nobody could order this plan to change now.",,
lesson_vi2_l31_d0,"Nghe nói bạn suýt gặp nạn lúc chơi bóng đá hôm qua, có bị hại gì không?","I heard you almost had an accident playing soccer yesterday, were you hurt at all?",,
lesson_vi2_l31_d1,"Cũng hơi nguy hiểm, tim đập nhanh dữ lắm lúc té, may mà không bị gì nặng, chỉ nghỉ dưỡng ở nhà thôi, khỏi vào viện.","It was a bit dangerous, my heart was pounding hard when I fell, but luckily nothing serious, just resting at home, no need to go to the hospital.",,
lesson_vi2_l31_d2,"Vậy tốt, dậy sớm rồi coi phim lịch sử hay mục nào đó cho thư giãn, có ai giỏi chăm sóc bạn ở căn nhà đó không?","That's good, wake up early and watch a history movie or some show to relax — is anyone good at taking care of you at that house?",,
lesson_vi2_l31_d3,"Có chứ, hộ gia đình mình sống gần bên hồ đó, ai cũng biết hướng dẫn cách sơ cứu, băng bó đàng hoàng, đừng lo mình có ma nào quấy đâu.","Yeah, our household lives near that lake, everyone knows how to give first-aid guidance, wrap a bandage properly — don't worry, no ghost is bothering me.",,
lesson_vi2_l32_d0,Cậu có xem phim mới trên tivi không? Có cảnh một người trốn khỏi tù đó.,Have you watched the new show on TV? There's a scene where someone escapes from prison.,,
lesson_vi2_l32_d1,"Có, tôi đọc bài giới thiệu rồi, nghe kiểu phim hành động vậy.","Yeah, I already read the description, sounds like an action-type movie.",,
lesson_vi2_l32_d2,Đúng vậy. Nhưng có một bước làm tôi thấy rối — cảnh sát tìm ra dấu tay lạ ở hiện trường.,Right. But there's a step that confused me — the police found a strange fingerprint at the scene.,,
lesson_vi2_l32_d3,"Ai để lại dấu đó, nhân vật chính à?","Who left that mark, the main character?",,
lesson_vi2_l32_d4,"Không, một nhân vật phản diện. Hắn còn uống rượu trước khi gây chuyện nữa.","No, a villain. He even drank alcohol before he caused trouble.",,
lesson_vi2_l32_d5,"Nghe giống mấy phim ngu ngốc trên mạng, nhưng chắc cũng vui để xem lúc rảnh.","Sounds like one of those dumb movies online, but probably fun to watch when free.",,
lesson_vi2_l33_d0,Tụi mình đi xem hội mỹ thuật cuối tuần này nhé?,"Let's go see the art fair this weekend, shall we?",,
lesson_vi2_l33_d1,Được đó! Nghe nói năm nay có nhiều tác phẩm lạ lắm.,Sounds good! I heard there are lots of unusual pieces this year.,,
lesson_vi2_l33_d2,"Ừ, có một vòng hoa rất đẹp làm từ cánh hoa hồng thật.","Yeah, there's a beautiful wreath made from real rose petals.",,
lesson_vi2_l33_d3,Ban tổ chức còn mời một anh hề đến biểu diễn cho vui nữa.,The organizing committee even invited a clown to perform for fun.,,
lesson_vi2_l33_d4,"Hay đó, chắc tôi sẽ cười suốt buổi luôn. Nhớ cẩn thận kẻo lạc nhau trong đám đông nhé, tụi mình đông người mà.","Nice, I'll probably laugh the whole time. Remember to be careful not to get separated in the crowd, since there's a lot of us.",,
lesson_vi2_l33_d5,"Yên tâm, càng đông người thì không khí càng vui thôi.","Don't worry, the more crowded it is, the more fun the atmosphere.",,
lesson_vi2_l34_d0,"Nè, cậu có biết chuyện cổ tích về người ngư dân tham lam không?","Hey, do you know the folk tale about the greedy fisherman?",,
lesson_vi2_l34_d1,"Có, hồi nhỏ bà hay kể chuyện đó cho tôi nghe. Ông ta tham quá nên cuối cùng bị mất hết.","Yeah, when I was little my grandma used to tell me that story. He was so greedy that in the end he lost everything.",,
lesson_vi2_l34_d2,"Đúng rồi, may mà chưa gặp lũ lụt như trong chuyện.","That's right, lucky he never ran into a flood like in the story.",,
lesson_vi2_l34_d3,"Ừ, nghe nói vùng đó có loài cá độc, ngư dân già ở đó phải rất cẩn thận khi đi thuyền.","Yeah, they say that area has a poisonous kind of fish, so the old fishermen there have to be very careful when out on a boat.",,
lesson_vi2_l34_d4,"Chuyện này chắc nằm trong một trang sách văn học nào đó, đọc thấy khá bí ẩn.","This story must be in some literature textbook page, it reads as pretty mysterious.",,
