ID,Vietnamese_Text,English_Text,Vietnamese_Female_Sound,Vietnamese_Male_Sound
slang_thả thính,thả thính,to flirt / put out bait — lit. “to scatter fish bait”,,
slang_bơ,bơ,to blank someone — lit. “butter”,,
slang_ế,ế,"unsold — of stock, or of a person still single",,
slang_hên,hên,lucky — Southern,,
slang_xui,xui,unlucky,,
slang_lì,lì,stubborn / won’t flinch,,
slang_nhát,nhát,chicken / easily scared,,
slang_khỉ gió,khỉ gió,"you little monkey — scolding a child, affectionate",,
slang_xạo ke,xạo ke,full of it / a right fibber — Southern,,
slang_chảnh,chảnh,stuck-up / up yourself — Southern,,
slang_cà chớn,cà chớn,messing about / unreliable — Southern,,
slang_nhây,nhây,won’t let it drop / clingy in an annoying way,,
slang_quắc cần câu,quắc cần câu,absolutely hammered,,
slang_phê,phê,buzzed / high / blissed out,,
slang_quê,quê,cringe / provincial / embarrassing,,
slang_mày,mày,"you — the blunt pronoun. Warm with close friends, an insult otherwise",,
slang_tao,tao,"I — the blunt pronoun, always paired with mày",,
slang_thằng,thằng,“that bloke” — a dismissive classifier for a man,,
slang_con nhỏ,con nhỏ,"“that girl” — Southern, casual, edging on dismissive",,
slang_gắt,gắt,savage / fierce — praise or complaint depending on tone,,
slang_chặt chém,chặt chém,to rip off — of a shop or a driver,,
slang_banh xác,banh xác,wrecked / knackered beyond repair,,
slang_ngáo,ngáo,out of it / away with the fairies,,
slang_chém gió,chém gió,to talk big / spin a yarn,,
slang_nổ,nổ,to brag — lit. to explode,,
slang_ba xạo,ba xạo,"full of it — Southern, stronger than plain xạo",,
slang_lầy,lầy,shameless in a funny way / won’t behave,,
slang_lươn lẹo,lươn lẹo,slippery / dodgy,,
slang_cà khịa,cà khịa,to needle / wind someone up,,
slang_phốt,phốt,a scandal / a screw-up that got out,,
slang_bóc phốt,bóc phốt,to expose someone publicly,,
slang_trẻ trâu,trẻ trâu,a kid acting big — “buffalo youth”,,
slang_sửu nhi,sửu nhi,"same idea, jokier and more online",,
slang_toang,toang,blown it / it’s ruined — very current,,
slang_chết tiệt,chết tiệt,damn it / blasted thing,,
slang_trời đánh,trời đánh,"god-struck — “you menace”, said fondly or not",,
slang_quỷ tha ma bắt,quỷ tha ma bắt,"devil take you — theatrical, half-joking",,
slang_thôi đi,thôi đi,give over / that’s enough,,
slang_không liên quan,không liên quan,nothing to do with it / irrelevant,,
slang_ai thèm,ai thèm,as if / who’d want to,,
slang_im đi,im đi,be quiet,,
slang_dẹp đi,dẹp đi,knock it off / clear off,,
slang_ngốc,ngốc,"silly — soft, often affectionate",,
slang_khờ,khờ,naive / green,,
slang_hư,hư,naughty / badly behaved,,
slang_ngu,ngu,stupid,,
slang_đồ,đồ,“you ___” — the prefix that turns a word into an insult,,
slang_đồ ngu,đồ ngu,you idiot — đồ turns anything into an insult,,
slang_điên,điên,mad / crazy,,
slang_khùng,khùng,crazy — Southern,,
slang_dở hơi,dở hơi,daft / half-witted — more Northern,,
slang_ăn hại,ăn hại,a freeloader / eats and does nothing,,
slang_vô duyên,vô duyên,graceless / says the wrong thing constantly,,
slang_đần,đần,dim / slow on the uptake,,
slang_ngu như bò,ngu như bò,thick as an ox,,
slang_não phẳng,não phẳng,"smooth-brained — online, jokey",,
slang_mặt dày,mặt dày,thick-faced / shameless,,
slang_vô liêm sỉ,vô liêm sỉ,"shameless — bookish wording, lands hard",,
slang_vô tích sự,vô tích sự,good for nothing,,
slang_đồ bỏ đi,đồ bỏ đi,a write-off / waste of space,,
slang_thằng nhãi,thằng nhãi,little brat — aimed down at someone younger,,
slang_ranh con,ranh con,brat / snot-nosed kid,,
slang_mất nết,mất nết,"badly brought up — about character, not manners",,
slang_dê,dê,letchy — lit. “goat”,,
slang_ị,ị,"to poo — childish, what you say to a toddler",,
slang_thối,thối,stinking / rotten,,
slang_hôi,hôi,smelly — of a body or a room,,
slang_xì hơi,xì hơi,to let one go — neutral wording,,
slang_đánh rắm,đánh rắm,to fart — the Northern everyday word,,
slang_ói,ói,to throw up — Southern,,
slang_ốm nhom,ốm nhom,skin and bone — Southern,,
slang_cứt,cứt,shit,,
slang_đái,đái,to piss,,
slang_xấu như ma,xấu như ma,ugly as a ghost,,
slang_mửa,mửa,to puke — coarser,,
slang_ghê tởm,ghê tởm,revolting,,
slang_hôi nách,hôi nách,BO — said bluntly and often,,
slang_xấu hoắc,xấu hoắc,proper ugly — Southern,,
slang_muốn gì,muốn gì,what do you want? — the line before it kicks off,,
slang_đánh nhau,đánh nhau,to have a fight,,
slang_coi chừng,coi chừng,watch it / careful now,,
slang_liệu hồn,liệu hồn,watch yourself,,
slangp_0,"Trời ơi, hết hồn luôn!","God, that scared the life out of me!",,
slangp_1,Mắc cười quá đi!,That’s so funny!,,
slangp_2,Bó tay với ông luôn.,I give up on you.,,
slangp_3,Đông quá trời luôn.,It’s absolutely packed.,,
slangp_4,"Thôi kệ đi, không sao đâu.","Forget it, it’s fine.",,
slangp_5,"Nay mệt quá, chán ghê.","I’m knackered today, so fed up.",,
slangp_6,Đừng có xạo nha.,Don’t give me that.,,
slangp_7,"Ngon quá, đã thiệt!",So good — that really hit the spot!,,
slangp_8,"Lẹ lên đi, trễ rồi.","Hurry up, we’re late.",,
slangp_9,Tối nay đi nhậu không?,Fancy going for a drink tonight?,,
slangp_34,"Ủa, sao kỳ vậy?",Huh — that’s odd?,,
slangp_35,"Ê, đi ăn không?","Oi, coming to eat?",,
slangp_36,"Thôi xong, quên mất tiêu.",Well that’s that — completely forgot.,,
slangp_37,"Tiêu rồi, trễ giờ rồi.","We’re done for, we’re late.",,
slangp_38,"U là trời, đẹp dữ vậy!","Whoaa, that’s properly nice!",,
slangp_39,Căng à nha.,That’s a heavy one.,,
slangp_41,Món này đỉnh thiệt sự.,This dish is genuinely top-tier.,,
slangp_42,"Đồ xịn đó, không phải hàng dỏm.","That’s the real thing, not a knock-off.",,
slangp_43,Ăn xong hết sẩy luôn.,That was fantastic.,,
slangp_44,Chơi tới bến luôn đi.,Let’s go all the way with it.,,
slangp_45,Tháng này cày dữ lắm.,I’ve been grafting hard this month.,,
slangp_46,"Cháy túi rồi, tháng sau đi.",I’m skint — let’s go next month.,,
slangp_48,"Mua hớ rồi, chỗ kia rẻ hơn.",I got done — it’s cheaper over there.,,
slangp_49,"Của chùa mà, cứ ăn đi.","It’s free, go on and eat.",,
slangp_51,"Một hai ba, dzô!",One two three — cheers!,,
slangp_52,Tối nay quẩy tới sáng.,We’re going till morning tonight.,,
slangp_53,Ngồi tám chút đi.,Sit and have a natter a minute.,,
slangp_59,Gato gì mà gato dữ vậy.,What are you so jealous about?,,
slangp_61,Nay có gấu chưa?,Got yourself a partner yet?,,
slangp_62,Nó thả thính cả xóm.,He’s flirting with the whole neighbourhood.,,
slangp_63,Nhắn hoài mà nó bơ luôn.,I keep texting and he just blanks me.,,
slangp_10,Hôm qua nó xỉn quắc cần câu.,He was absolutely hammered last night.,,
slangp_11,Nhỏ đó chảnh dữ.,That girl’s so stuck-up.,,
slangp_12,Ông cà chớn quá đi.,You’re such a messer.,,
slangp_40,Ổng làm gắt thiệt.,He went in hard on that.,,
slangp_47,"Chỗ đó chặt chém dữ lắm, đừng vô.","That place rips you off, don’t go in.",,
slangp_50,Cái máy banh xác rồi.,The machine is completely wrecked.,,
slangp_54,Ông chém gió vừa thôi.,Steady on with the tall tales.,,
slangp_55,"Nó nổ dữ lắm, đừng tin.","He talks himself right up, don’t believe it.",,
slangp_56,Toang rồi ông ơi.,"It’s all blown up, mate.",,
slangp_57,Đừng có cà khịa nữa.,Stop winding people up.,,
slangp_58,Nó bị bóc phốt trên mạng rồi.,He got called out online.,,
slangp_60,Mấy đứa trẻ trâu đó ồn quá.,Those kids acting big are too loud.,,
slangp_13,"Thôi đi, đủ rồi.","Give over, that’s enough.",,
slangp_67,Ai thèm quan tâm.,As if anyone cares.,,
slangp_14,Không liên quan tới tao.,Nothing to do with me.,,
slangp_15,"Im đi, để người ta nói.",Be quiet and let them speak.,,
slangp_64,"Dẹp đi, tao không rảnh.","Knock it off, I haven’t got time.",,
slangp_65,Lo chuyện của mày đi.,Mind your own business.,,
slangp_66,Xạo vừa thôi nha.,That’s enough of your rubbish.,,
slangp_68,Đủ rồi đó nghe.,"That’s enough now, I mean it.",,
slangp_81,kệ tao,leave me out of it,,
slangp_82,đi chỗ khác,go somewhere else,,
slangp_88,xạo vừa thôi,that’s enough of your rubbish,,
slangp_89,nói ít thôi,talk less,,
slangp_90,lo chuyện của mày đi,mind your own business,,
slangp_91,chả ai quan tâm,nobody cares,,
slangp_92,đủ rồi đó,that’s enough now — the warning before it escalates,,
slangp_18,"Đồ ngu, làm sai hết rồi.","You idiot, you’ve got it all wrong.",,
slangp_19,Nó khùng rồi hả?,Has he lost the plot?,,
slangp_20,"Ăn hại, chẳng làm gì cả.",Useless — does nothing at all.,,
slangp_69,"Ngu như bò, nói hoài không hiểu.",Thick as an ox — told him a hundred times.,,
slangp_70,"Đồ mặt dày, không biết ngại.",Shameless — hasn’t got an ounce of embarrassment.,,
slangp_72,"Ông già đó dê lắm, tránh ra.","That old man is letchy, keep away.",,
slangp_23,Ở đây hôi quá.,It stinks in here.,,
slangp_31,Mày muốn gì?,What do you want?,,
slangp_32,Coi chừng đó nghe.,"You watch it, alright.",,
slangp_77,Liệu hồn đó nghe.,Watch yourself.,,
slangp_78,Đừng có làm quá nha.,Don’t push it.,,
slangp_97,đừng có làm quá,don’t push it,,
